mzML_file	polarity	time	storage	replicate	time_stamp	injection_idx
20170803_1d_4C_BAG_a_NEG.mzML	NEG	1d	4C_BAG	a	2017-08-03 16:39:53	38
20170803_2w_4C_BAG_c_NEG.mzML	NEG	2w	4C_BAG	c	2017-08-03 16:51:37	39
20170803_6h_4C_VACUM_a_NEG.mzML	NEG	6h	4C_VACUUM	a	2017-08-03 17:00:21	40
20170803_6h_VACUM_b_NEG.mzML	NEG	6h	VACUUM	b	2017-08-03 17:12:07	41
20170803_1d_BAG_b_NEG.mzML	NEG	1d	BAG	b	2017-08-03 17:20:51	42
20170803_6h_4C_VACUM_c_NEG.mzML	NEG	6h	4C_VACUUM	c	2017-08-03 17:32:35	43
20170803_1w_RT_c_NEG.mzML	NEG	1w	RT	c	2017-08-03 17:41:19	44
20170803_2w_BAG_b_NEG.mzML	NEG	2w	BAG	b	2017-08-03 17:53:03	45
20170803_QC_6_NEG.mzML	NEG	QC	QC		2017-08-03 18:01:48	46
20170803_2d_4C_VACUM_b_NEG.mzML	NEG	2d	4C_VACUUM	b	2017-08-03 18:13:31	47
20170803_2d_4C_BAG_b_NEG.mzML	NEG	2d	4C_BAG	b	2017-08-03 18:22:14	48
20170803_1d_RT_a_NEG.mzML	NEG	1d	RT	a	2017-08-03 18:34:01	49
20170803_3d_4C_VACUM_b_NEG.mzML	NEG	3d	4C_VACUUM	b	2017-08-03 18:42:45	50
20170803_3d_VACUM_a_NEG.mzML	NEG	3d	VACUUM	a	2017-08-03 18:54:32	51
20170803_3d_4C_BAG_c_NEG.mzML	NEG	3d	4C_BAG	c	2017-08-03 19:03:15	52
20170803_2w_4C_VACUM_a_NEG.mzML	NEG	2w	4C_VACUUM	a	2017-08-03 19:15:02	53
20170803_6h_4C_BAG_a_NEG.mzML	NEG	6h	4C_BAG	a	2017-08-03 19:23:47	54
20170803_QC_7_NEG.mzML	NEG	QC	QC		2017-08-03 19:35:33	55
20170803_1d_4C_VACUM_b_NEG.mzML	NEG	1d	4C_VACUUM	b	2017-08-03 19:44:17	56
20170803_2d_BAG_b_NEG.mzML	NEG	2d	BAG	b	2017-08-03 19:56:01	57
20170803_2w_BAG_c_NEG.mzML	NEG	2w	BAG	c	2017-08-03 20:04:45	58
20170803_6h_RT_c_NEG.mzML	NEG	6h	RT	c	2017-08-03 20:16:29	59
20170803_2h_RT_b_NEG.mzML	NEG	2h	RT	b	2017-08-03 20:25:13	60
20170803_1d_RT_c_NEG.mzML	NEG	1d	RT	c	2017-08-03 20:36:59	61
20170803_3d_BAG_b_NEG.mzML	NEG	3d	BAG	b	2017-08-03 20:45:43	62
20170803_2w_VACUM_a_NEG.mzML	NEG	2w	VACUUM	a	2017-08-03 20:57:30	63
20170803_QC_8_NEG.mzML	NEG	QC	QC		2017-08-03 21:06:14	64
20170803_6h_4C_VACUM_b_NEG.mzML	NEG	6h	4C_VACUUM	b	2017-08-03 21:18:00	65
20170803_1d_4C_BAG_b_NEG.mzML	NEG	1d	4C_BAG	b	2017-08-03 21:26:44	66
20170803_2d_VACUM_c_NEG.mzML	NEG	2d	VACUUM	c	2017-08-03 21:38:27	67
20170803_2d_RT_b_NEG.mzML	NEG	2d	RT	b	2017-08-03 21:47:12	68
20170803_2d_4C_VACUM_a_NEG.mzML	NEG	2d	4C_VACUUM	a	2017-08-03 21:58:55	69
20170803_3d_4C_VACUM_a_NEG.mzML	NEG	3d	4C_VACUUM	a	2017-08-03 22:07:39	70
20170803_2w_4C_VACUM_b_NEG.mzML	NEG	2w	4C_VACUUM	b	2017-08-03 22:19:22	71
20170803_1w_4C_BAG_b_NEG.mzML	NEG	1w	4C_BAG	b	2017-08-03 22:28:07	72
20170803_QC_9_NEG.mzML	NEG	QC	QC		2017-08-03 22:39:54	73
20170803_1w_4C_BAG_a_NEG.mzML	NEG	1w	4C_BAG	a	2017-08-03 22:48:39	74
20170803_1d_VACUM_c_NEG.mzML	NEG	1d	VACUUM	c	2017-08-03 23:00:26	75
20170803_6h_VACUM_a_NEG.mzML	NEG	6h	VACUUM	a	2017-08-03 23:09:10	76
20170803_2h_RT_a_NEG.mzML	NEG	2h	RT	a	2017-08-03 23:20:57	77
20170803_6h_4C_BAG_b_NEG.mzML	NEG	6h	4C_BAG	b	2017-08-03 23:29:40	78
20170803_1w_VACUM_c_NEG.mzML	NEG	1w	VACUUM	c	2017-08-03 23:41:24	79
20170803_2w_4C_VACUM_c_NEG.mzML	NEG	2w	4C_VACUUM	c	2017-08-03 23:50:07	80
20170803_3d_4C_BAG_b_NEG.mzML	NEG	3d	4C_BAG	b	2017-08-04 00:01:54	81
20170803_QC_10_NEG.mzML	NEG	QC	QC		2017-08-04 00:10:39	82
